,unperturbed_C,optimized_C
2025-08-13 16:00,15.691803,20.405243
2025-08-13 17:00,15.8498535,20.642792
2025-08-13 18:00,15.848846,20.814728
2025-08-13 19:00,15.954132,20.729156
2025-08-13 20:00,16.055267,20.736786
2025-08-13 21:00,16.062225,20.53128
2025-08-13 22:00,15.94873,20.44873
2025-08-13 23:00,15.822205,20.263885
2025-08-14 0:00,15.624329,20.120941
2025-08-14 1:00,15.382202,19.975006
2025-08-14 2:00,15.214569,19.711792
2025-08-14 3:00,15.030701,19.508453
2025-08-14 4:00,14.9566345,19.447845
2025-08-14 5:00,15.031769,19.290436
2025-08-14 6:00,14.88974,19.277588
2025-08-14 7:00,14.773346,19.343506
2025-08-14 8:00,14.70578,19.30893
2025-08-14 9:00,14.698486,19.247803
2025-08-14 10:00,14.765289,19.36856
2025-08-14 11:00,15.07016,19.489838
2025-08-14 12:00,15.5784,19.84018
2025-08-14 13:00,15.920258,20.28122
2025-08-14 14:00,16.045258,20.537872
2025-08-14 15:00,16.34793,20.836517
2025-08-14 16:00,16.577698,21.250092
2025-08-14 17:00,16.670746,21.469177
2025-08-14 18:00,16.586731,21.555023
2025-08-14 19:00,16.562286,21.687958
2025-08-14 20:00,16.267792,21.469269
2025-08-14 21:00,16.160736,21.3154
2025-08-14 22:00,15.942932,21.075958
2025-08-14 23:00,15.684906,20.857056
