year,index,HWN,HWD,HWF,HWA,HWM
1987,CTN90pct,4,4,14,17.26,7.44
1988,CTN90pct,2,4,7,15.46,10.63
1989,CTN90pct,3,4,10,18.73,12.72
1990,CTN90pct,4,6,18,14.16,8.74
1991,CTN90pct,1,3,3,11.23,9.72
1992,CTN90pct,1,3,3,16.54,15.89
1993,CTN90pct,3,3,9,11.41,7.58
1994,CTN90pct,5,4,17,19.39,15.71
1995,CTN90pct,2,3,6,12.75,5.35
1996,CTN90pct,4,5,16,6.81,2.13
1997,CTN90pct,1,3,3,12.96,12.3
1998,CTN90pct,4,7,19,18.72,6.4
1999,CTN90pct,6,5,21,16.03,6.66
2000,CTN90pct,4,6,16,8.58,4.69
2001,CTN90pct,3,5,12,16.7,9.13
2002,CTN90pct,1,4,4,9.1,8.73
2003,CTN90pct,5,5,17,17.48,12.5
2004,CTN90pct,0,0,0,,
2005,CTN90pct,2,4,7,17.95,11.53
2006,CTN90pct,6,5,23,16.38,8.52
2007,CTN90pct,2,5,10,12.53,5.99
2008,CTN90pct,3,4,10,17.45,7.9
2009,CTN90pct,3,3,9,15.71,9.64
2010,CTN90pct,10,12,51,18.15,6.6
2011,CTN90pct,1,3,3,0.77,0.5
2012,CTN90pct,9,5,32,19.4,8.29
2013,CTN90pct,10,4,32,19.9,9.36
2014,CTN90pct,5,5,20,19.51,10.17
2015,CTN90pct,2,3,6,17.8,15.36
2016,CTN90pct,4,7,16,15.93,8.68
2017,CTN90pct,0,0,0,,
2018,CTN90pct,3,5,12,9.75,3.09
2019,CTN90pct,0,0,0,,
2020,CTN90pct,5,7,23,16.04,11.19
2021,CTN90pct,8,7,35,18.56,5.85
2022,CTN90pct,11,8,48,19.8,12.43
2023,CTN90pct,6,10,31,19.4,12.38
2024,CTN90pct,5,7,23,19.34,13.0
2025,CTN90pct,5,8,21,13.32,7.21
2026,CTN90pct,2,7,12,8.3,2.68
1985,EHF,0,0,0,,
1986,EHF,0,0,0,,
1987,EHF,1,5,5,14.52,8.2
1988,EHF,2,5,9,4.49,2.32
1989,EHF,3,9,16,9.65,2.84
1990,EHF,1,10,10,7.14,3.93
1991,EHF,0,0,0,,
1992,EHF,0,0,0,,
1993,EHF,1,6,6,7.0,4.99
1994,EHF,3,7,16,10.7,3.67
1995,EHF,1,3,3,3.26,2.39
1996,EHF,1,8,8,11.16,4.39
1997,EHF,1,3,3,0.61,0.33
1998,EHF,3,17,24,12.27,1.76
1999,EHF,2,6,10,5.77,2.39
2000,EHF,1,6,6,9.69,4.92
2001,EHF,3,9,15,7.11,2.21
2002,EHF,2,8,11,10.6,3.08
2003,EHF,2,13,17,9.08,3.78
2004,EHF,3,19,27,9.48,2.66
2005,EHF,4,6,18,10.1,2.87
2006,EHF,2,7,10,3.42,0.92
2007,EHF,1,3,3,5.9,4.03
2008,EHF,3,4,10,5.42,2.29
2009,EHF,3,5,12,3.52,2.11
2010,EHF,5,5,19,17.03,4.28
2011,EHF,0,0,0,,
2012,EHF,4,13,24,12.35,1.78
2013,EHF,5,7,21,25.6,5.3
2014,EHF,3,21,28,16.38,4.22
2015,EHF,1,5,5,5.97,3.97
2016,EHF,4,9,19,8.77,1.85
2017,EHF,2,4,7,5.6,2.33
2018,EHF,3,10,21,7.8,2.81
2019,EHF,3,5,11,6.96,1.9
2020,EHF,2,7,10,8.98,3.28
2021,EHF,3,8,14,9.75,3.33
2022,EHF,5,13,42,10.64,2.55
2023,EHF,3,15,24,19.3,5.3
2024,EHF,5,11,33,13.36,2.59
2025,EHF,3,9,19,11.62,4.19
2026,EHF,0,0,0,,
